run_id,request_id,stimulus_id,baseline_id,source_dataset,annotation_perspective,model_provider,model_id,condition,repetition,temperature,top_p,seed,system_prompt_id,system_prompt_hash,prompt_id,prompt_hash,code_commit,config_hash,request_timestamp_utc,latency_ms,raw_response_text,response_timestamp_utc,parsed_valence,parsed_arousal,parse_status,failure_reason,attempt_history,baseline_V,baseline_A,delta_V,delta_A,R,id,split,V,A,D,text,V_scaled,A_scaled,v_cell,a_cell,ADA,ADA_excluded_reason,Euclidean_Distance_to_Human
20260824T141214Z_dryrun,4ee2da12-a9aa-4d39-9b35-4e480fa3337f,emobank_audubon1_7168_7287,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046018+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046020+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,audubon1_7168_7287,train,2.7,3.8,3.0,"First,sign and return your Petition to the Secretary of Agriculture immediately, to declare a firm and resounding “NO!”",-0.1499999999999999,0.3999999999999999,1,2,-0.732793491626299,,0.9192388155425116
20260824T141214Z_dryrun,a7d40654-9b37-4bc9-aa81-5fd09331e4b6,emobank_detroit_16391_16421,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046061+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046062+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_16391_16421,train,3.91,3.37,3.0,I find this topic fascinating.,0.455,0.185,2,1,0.6601146077286789,,0.43732139211339754
20260824T141214Z_dryrun,7f45850a-c7be-49c9-a0d0-55f0b7a2656f,emobank_defenders5_31_47,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046136+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046137+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,defenders5_31_47,test,2.0,3.57,2.71,ALASKA EMERGENCY,-0.5,0.2849999999999999,0,1,-0.9985195471971505,,1.1341186004999653
20260824T141214Z_dryrun,f476dd0d-c474-4827-a1e3-0b585480fbad,emobank_captured_moments_22417_22430,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046187+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046189+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,captured_moments_22417_22430,train,4.1,3.8,3.2,"""I love you.""",0.5499999999999998,0.3999999999999999,2,2,0.4603171644550003,,0.6519202405202648
20260824T141214Z_dryrun,2eb53591-bda6-4904-b18c-3021f8a0a046,emobank_Nathans_Bylichka_31628_31664,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046239+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046240+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,Nathans_Bylichka_31628_31664,test,3.0,2.25,2.75,This place is just a little of both.,0.0,-0.375,1,0,0.4472135954999579,,0.5153882032022076
20260824T141214Z_dryrun,888af708-90b3-4013-85b0-9bf72cde4ba5,emobank_detroit_16320_16354,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046319+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046321+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_16320_16354,train,2.9,3.8,3.2,Don't forget about the back taxes!,-0.05,0.3999999999999999,1,2,-0.5547001962252291,,0.85146931829632
20260824T141214Z_dryrun,f74127fc-88f9-4de1-908e-7a843667b3ba,emobank_cable_spool_fort_116_125,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046371+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046373+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,cable_spool_fort_116_125,train,1.6,3.9,3.6,You suck.,-0.7,0.4499999999999999,0,2,-0.9942070475658493,,1.3892443989449805
20260824T141214Z_dryrun,d92c5114-14ec-45b7-9202-5763ca96afcd,emobank_hotel-california_27718_27751,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046397+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046399+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,hotel-california_27718_27751,train,2.2,3.6,2.6,I was discouraged and frustrated.,-0.3999999999999999,0.3,0,1,-0.9838699100999075,,1.0547511554864493
20260824T141214Z_dryrun,6d756a40-613a-44fc-bb9e-c609642c18be,emobank_Nathans_Bylichka_3531_3576,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046459+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046461+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,Nathans_Bylichka_3531_3576,train,3.8,3.8,3.5,Even the city feels alive when spring comes.”,0.3999999999999999,0.3999999999999999,2,2,0.3162277660168379,,0.6576473218982952
20260824T141214Z_dryrun,9747a1c4-17d0-4428-8ad7-0741be5e5c79,emobank_WhereToHongKong_59648_59721,baseline_gpt-4o_rep01_block0,EmoBank,reader,dummy,gpt-4o,post_reported_va,1,0.0,1.0,42,system_v1,b0a252a7475fe37e14227254d199e4327164cab8660532dbf44ec358ac15ec94,affective_reception_v1,7cfd8fd9fd57a77eba5151ab200b2d8e1cd26599ae047252d9a68e2395ee090a,6ba25f1,68db600db7e6d445ab7bc4afbb265c22f5d87a907d1020cbd5102ce079c64cd1,2026-08-24T14:12:15.046520+00:00,120,"{""valence"": 7, ""arousal"": 4}",2026-08-24T14:12:15.046522+00:00,0.5,-0.25,success,,"[{'attempt_no': 1, 'status': 'success'}]",0.0,0.0,0.5,-0.25,0.5590169943749475,WhereToHongKong_59648_59721,train,3.0,2.33,2.83,Dr. Sun Yat-sen (1866–1925) began his political career in Canton.,0.0,-0.3349999999999999,1,0,0.4472135954999579,,0.5071735403192875
