run_id,request_id,stimulus_id,baseline_id,source_dataset,annotation_perspective,model_provider,model_id,condition,repetition,temperature,top_p,seed,prompt_id,prompt_hash,parsed_valence,parsed_arousal,raw_response_text,parse_status,failure_reason,request_timestamp_utc,response_timestamp_utc,latency_ms,code_commit,config_hash,baseline_V,baseline_A,delta_V,delta_A,R,id,split,V,A,D,text,V_reader_scaled,A_reader_scaled,DA,DA_excluded_reason
20260824T123430Z_dryrun,127d593e-52b7-4234-93fd-7e77b9690b00,emobank_defenders5_31_47,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,defenders5_31_47,test,2.0,3.57,2.71,ALASKA EMERGENCY,-0.5,0.2849999999999999,-0.9985195471971505,
20260824T123430Z_dryrun,6de1f5cd-6f52-4b02-8568-1a522552236c,emobank_hotel-california_27718_27751,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,hotel-california_27718_27751,train,2.2,3.6,2.6,I was discouraged and frustrated.,-0.3999999999999999,0.3,-0.9838699100999075,
20260824T123430Z_dryrun,05702e58-b4e7-4436-a640-e9b1568189a8,emobank_cable_spool_fort_116_125,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,cable_spool_fort_116_125,train,1.6,3.9,3.6,You suck.,-0.7,0.4499999999999999,-0.9942070475658493,
20260824T123430Z_dryrun,79cbbd5f-19c6-4232-be6c-73741f46b010,emobank_detroit_9593_9753,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_9593_9753,train,2.3,3.8,3.1,"You think I'm kidding, but I couldn't be more serious -- that Honda is a visceral reminder for people of how the American consumer has left Detroit in the dust.",-0.3500000000000001,0.3999999999999999,-0.925546956205677,
20260824T123430Z_dryrun,34f75331-ced6-4d99-b5cd-7f3055d7bf7f,emobank_WhereToHongKong_59648_59721,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,WhereToHongKong_59648_59721,train,3.0,2.33,2.83,Dr. Sun Yat-sen (1866–1925) began his political career in Canton.,0.0,-0.3349999999999999,0.4472135954999579,
20260824T123430Z_dryrun,c6021c6d-9ed1-40a0-bc61-dd1c1f4c769e,emobank_Nathans_Bylichka_31628_31664,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,Nathans_Bylichka_31628_31664,test,3.0,2.25,2.75,This place is just a little of both.,0.0,-0.375,0.4472135954999579,
20260824T123430Z_dryrun,00d79fed-cbad-4564-bc5f-65e6619f4ab9,emobank_NYTnewswire9_5598_5682,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,NYTnewswire9_5598_5682,test,2.78,3.22,3.22,"He said that they had split the atom and that we were going to drop an atomic bomb,""",-0.1100000000000001,0.1100000000000001,-0.9486832980505138,
20260824T123430Z_dryrun,b96b576a-88b2-4e5f-b7a7-9f5f6a44de0c,emobank_SemEval_1271,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,SemEval_1271,train,3.14,3.0,3.14,"Beauticians cut, curl, offer stroke-prevention info",0.07,0.0,0.8944271909999157,
20260824T123430Z_dryrun,534035c8-3353-47ec-9ef9-a26f12ea621b,emobank_detroit_16320_16354,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,detroit_16320_16354,train,2.9,3.8,3.2,Don't forget about the back taxes!,-0.05,0.3999999999999999,-0.5547001962252291,
20260824T123430Z_dryrun,092ccf23-2e36-4cb0-afb2-97da0ba6b4f8,emobank_audubon1_7168_7287,baseline_gpt-4o_rep01,EmoBank,reader,dummy_provider,gpt-4o,affective_reception,1,0.0,1.0,42,affective_reception_v1,f5b6243c49f1c886d43ba550d4dd4c40b912ea09510846edf9fa32ffee056370,0.5,-0.25,"{""valence"": 7.0, ""arousal"": 4.0}",success,,2026-08-24T12:34:30.912359+00:00,2026-08-24T12:34:30.912370+00:00,100,unknown,019a3af679a1b44aabb19b1dfc632e71fbc2f5ef015b6bd9ca25f9f8503a3040,0.0,0.0,0.5,-0.25,0.5590169943749475,audubon1_7168_7287,train,2.7,3.8,3.0,"First,sign and return your Petition to the Secretary of Agriculture immediately, to declare a firm and resounding “NO!”",-0.1499999999999999,0.3999999999999999,-0.732793491626299,
